Region Code,Region Name,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,within_18_per,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y62,NORTH WEST COMMISSIONING REGION,Elderly Medicine Service,3739,2733,0.73,73.09,9.605769231,36.38608696,55,0,1
Y62,NORTH WEST COMMISSIONING REGION,Gynaecology Service,101299,47099,0.46,46.50,19.71542553,52.15117825,8204,32,1175
Y62,NORTH WEST COMMISSIONING REGION,Other - Medical Services,87850,54811,0.62,62.39,12.86592409,42.79715302,2642,11,280
Y62,NORTH WEST COMMISSIONING REGION,Other - Mental Health Services,107,82,0.77,76.64,4.5,34.44,2,0,0
Y62,NORTH WEST COMMISSIONING REGION,Other - Paediatric Services,48713,27597,0.57,56.65,15.24977335,45.48312849,2006,0,213
Y62,NORTH WEST COMMISSIONING REGION,Other - Surgical Services,78368,45007,0.57,57.43,14.70088129,45.59710758,3119,16,423
Y62,NORTH WEST COMMISSIONING REGION,Other - Other Services,18876,13603,0.72,72.07,9.776923077,40.08335878,565,0,71
Y62,NORTH WEST COMMISSIONING REGION,Total,1066957,598688,0.56,56.11,15.32278846,46.90340507,50629,187,6426
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,General Surgery Service,60158,41982,0.70,69.79,10.85610465,37.06672727,891,5,42
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Urology Service,59621,38102,0.64,63.91,12.73969072,41.5303856,1768,7,290
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Trauma and Orthopaedic Service,122292,73313,0.60,59.95,13.85629305,44.48951479,4211,26,624
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Ear Nose and Throat Service,93942,52256,0.56,55.63,15.80497214,43.58709832,2871,4,400
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Ophthalmology Service,82942,59844,0.72,72.15,10.09463722,35.71028754,1207,19,130
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Oral Surgery Service,37879,22484,0.59,59.36,14.42864078,40.70067925,890,1,114
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Neurosurgical Service,5118,3540,0.69,69.17,11.5625,42.46967742,209,3,72
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Plastic Surgery Service,22114,12274,0.56,55.50,15.44842105,46.64486772,883,1,108
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Cardiothoracic Surgery Service,659,512,0.78,77.69,9.171052632,39.38,8,0,1
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,General Internal Medicine Service,5284,3996,0.76,75.62,9.787234043,32.84727273,56,0,3
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Gastroenterology Service,39565,28968,0.73,73.22,9.743460765,34.51622642,433,2,26
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Cardiology Service,44844,31725,0.71,70.75,10.87132593,33.83575309,272,1,18
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Dermatology Service,54787,36339,0.66,66.33,11.47824755,39.92459215,1035,5,128
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Respiratory Medicine Service,27840,19829,0.71,71.22,10.63273073,33.3728972,231,0,3
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Neurology Service,30105,16447,0.55,54.63,16.18899204,48.87131148,1767,0,297
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Rheumatology Service,17872,12380,0.69,69.27,11.19120135,36.41723077,195,1,6
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Elderly Medicine Service,4391,3737,0.85,85.11,6.540076336,24.95733333,17,0,6
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Gynaecology Service,84133,51506,0.61,61.22,13.61909737,43.02681967,2599,16,290
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Other - Medical Services,77066,54291,0.70,70.45,10.69600592,36.23884701,1090,0,93
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Other - Mental Health Services,1376,1101,0.80,80.01,8.759259259,29.24,4,0,0
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Other - Paediatric Services,41535,27551,0.66,66.33,12.05652504,39.16512821,924,5,165
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Other - Surgical Services,62338,39888,0.64,63.99,12.19036697,42.27914081,1833,3,181
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Other - Other Services,34264,28114,0.82,82.05,7.350032113,27.37852632,193,0,23
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Total,1010125,660179,0.65,65.36,12.11935085,40.41383078,23587,99,3020
